Lon,Lat,LMZ,Stat_Area,EEZ,LMZ_MA,Depth,Distant_Offshore
-74.95,38.05,NA,621,EEZ Nearshore Management Area 5,0,-23,0.243163254
-74.9,38.05,NA,621,EEZ Nearshore Management Area 5,0,-29,0.28893688
-74.85,38.05,NA,621,EEZ Nearshore Management Area 5,0,-28,0.334710507
-74.8,38.05,NA,621,EEZ Nearshore Management Area 5,0,-28,0.380484133
-74.75,38.05,NA,621,EEZ Nearshore Management Area 5,0,-28,0.42625776
-74.7,38.05,NA,621,EEZ Nearshore Management Area 5,0,-30,0.472031386
-74.65,38.05,NA,621,EEZ Nearshore Management Area 5,0,-33,0.516086536
-74.6,38.05,NA,621,EEZ Nearshore Management Area 5,0,-35,0.559102238
-74.55,38.05,NA,621,EEZ Nearshore Management Area 5,0,-39,0.603195916
-74.5,38.05,NA,621,EEZ Nearshore Management Area 5,0,-43,0.648147601
-74.45,38.05,NA,621,EEZ Nearshore Management Area 5,0,-41,0.693790539
-74.4,38.05,NA,621,EEZ Nearshore Management Area 5,0,-46,0.739994706
-74.35,38.05,NA,621,EEZ Nearshore Management Area 5,0,-48,0.786403125
-74.3,38.05,NA,621,EEZ Nearshore Management Area 5,0,-54,0.832811543
-74.25,38.05,NA,621,EEZ Nearshore Management Area 5,0,-59,0.879219962
-74.2,38.05,NA,621,EEZ Nearshore Management Area 5,0,-67,0.925628381
-74.15,38.05,NA,621,EEZ Nearshore Management Area 5,0,-73,0.972038636
-74.1,38.05,NA,621,EEZ Nearshore Management Area 5,0,-89,1.018651466
-74.05,38.05,NA,621,EEZ Nearshore Management Area 5,0,-107,1.065571447
-74,38.05,NA,622,EEZ Offshore Management Area 3,0,-113,1.112759726
-73.95,38.05,NA,622,EEZ Offshore Management Area 3,0,-124,1.160183567
-73.9,38.05,NA,622,EEZ Offshore Management Area 3,0,-137,1.207815222
-73.85,38.05,NA,622,EEZ Offshore Management Area 3,0,-273,1.25563104
-73.8,38.05,NA,622,EEZ Offshore Management Area 3,0,-653,1.303610758
-73.75,38.05,NA,622,EEZ Offshore Management Area 3,0,-1151,1.351736923
-73.7,38.05,NA,622,EEZ Offshore Management Area 3,0,-1131,1.399994432
-73.65,38.05,NA,622,EEZ Offshore Management Area 3,0,-1489,1.448370156
-73.6,38.05,NA,622,EEZ Offshore Management Area 3,0,-1457,1.496852634
-73.55,38.05,NA,622,EEZ Offshore Management Area 3,0,-1604,1.545431819
